Name,Type,Website,Currency,Summary,Country,Linkedin,Instagram,Facebook,Youtube,Twitter
Pirani Life,business,https://www.pirani.life,USD,None,United States of America,https://www.linkedin.com/company/pirani-life,https://www.instagram.com/pirani_life,https://www.facebook.com/piranilife/,https://www.youtube.com/channel/UCZ9fXOiUuPkG6MwlhsuXr8g,https://twitter.com/piranilife
Arbor Made,business,http://www.arbormade.co,USD,A refillable candle that is better for you and the environment.,United States of America,None,https://www.instagram.com/arbor.made/?hl=en,https://www.facebook.com/shoparbormade/,https://www.youtube.com/channel/UCCYH3EdrTlKGSJih1DNKc9A,None
Teddie Lee Photography LLC,business,https://www.teddieleephotography.com,USD,None,United States,None,None,None,None,None
The Landmark Project,business,https://thelandmarkproject.com,USD,None,United States of America,None,None,None,None,None
June & December,business,http://www.junedecember.com,USD,We are an independent design studio + maker of sustainable gifts that tell the wild stories of nature,United States of America,None,https://www.instagram.com/juneanddecember/,https://www.facebook.com/0612junedecember,None,None
dew goods,business,https://dewgoods.love,USD,None,United States of America,None,None,None,None,None
Impakt Digital,business,https://impaktdigital.com,USD,"We make, manage, and market websites for small businesses.",United States of America,https://www.linkedin.com/company/impakt-digital,https://www.instagram.com/impaktdigital/,https://www.facebook.com/ImpaktDigital/,None,None
Doggy Do Good,business,https://doggydogood.com/,USD,Pet Supplies with Purpose,United States of America,None,https://www.instagram.com/doggydogooder/,https://www.facebook.com/doggydogooder,https://www.youtube.com/channel/UCmayScuHO_MLuKLsHK0tR4Q,https://twitter.com/doggydogooder
The Impact Crowd,business,http://www.theimpactcrowd.com,USD,Investment Crowdfunding Platform focusing on ESG and Impact Investing,United States of America,None,https://www.instagram.com/theimpactcrowd/,https://www.facebook.com/The-Impact-Crowd-115362994484189,https://www.youtube.com/channel/UCldG70ayKBjA7llZ3zFqkKw,https://twitter.com/TheImpactCrowd
Kimberly Wyman,business,http://www.Kimberlywyman.com,USD,None,United States of America,None,None,None,None,None
Kenny Taylor Real Estate,business,http://www.agentkenny.com,USD,None,United States of America,None,None,None,None,None
